,score,enemies beaten,enemies beaten list,enemies not beaten list,enemy lives,player lives,times
72,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 64.60000000000034, 0, 0, 0]","[308, 325, 337, 354, 1000, 211, 28, 223]"
73,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 94.60000000000005, 0, 0, 0]","[298, 409, 328, 1257, 1000, 545, 15, 451]"
74,0.2625,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[60.0, 90.0, 10.0, 90.0, 100, 90.0, 100, 50.0]","[0, 0, 0, 0, 23.800000000000246, 0, 0, 0]","[347, 372, 521, 406, 1000, 345, 16, 361]"
75,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 69.40000000000029, 0, 0, 0]","[321, 164, 109, 544, 1000, 274, 350, 484]"
76,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 0, 0, 0, 0]","[315, 329, 339, 215, 440, 102, 315, 205]"
77,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 0, 0, 0, 0]","[315, 320, 340, 224, 755, 124, 302, 224]"
78,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 70.00000000000028, 0, 0, 0]","[315, 320, 341, 354, 1000, 215, 302, 224]"
79,1.2249999999999999,1,[8],"[1, 2, 3, 4, 5, 6, 7]","[100, 50.0, 90.0, 90.0, 90.0, 100, 100, 0]","[0, 0, 0, 0, 47.8000000000003, 0, 0, 66.40000000000032]","[331, 247, 83, 145, 1000, 261, 24, 308]"
80,1.3624999999999998,1,[5],"[1, 2, 3, 4, 6, 7, 8]","[100, 40.0, 90.0, 70.0, 0, 90.0, 30.0, 90.0]","[0, 0, 0, 0, 37.00000000000028, 0, 0, 0]","[308, 329, 227, 217, 298, 148, 312, 206]"
81,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 54.40000000000032, 0, 0, 0]","[315, 329, 339, 147, 1000, 177, 315, 205]"
82,1.2249999999999999,1,[5],"[1, 2, 3, 4, 6, 7, 8]","[100, 100, 100, 80.0, 0, 100, 40.0, 100]","[0, 0, 0, 0, 17.20000000000023, 0, 0, 0]","[331, 329, 227, 207, 521, 189, 232, 225]"
83,0.0125,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 90.0, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 79.0000000000002, 0, 0, 0]","[325, 164, 83, 330, 1000, 310, 428, 480]"
84,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 54.40000000000032, 0, 0, 0]","[315, 329, 339, 147, 1000, 177, 315, 205]"
