n_gens,n_evals,ind_id,f1,f2,f3,f4,f5,f6,f7,f8,obj_hard,obj_medium,obj_easy
8,80,6,23.092244721017863,104.1588987082376,103.73769342752374,23.092244721017863,104.2904731396847,23.092244721017863,1e-05,23.092244721017863,23.092244721017863,2.999998411672458e-05,48.0046842826239
8,80,7,23.092244721017863,104.2485095276616,33.09224472101786,23.092244721017863,104.16822989054491,23.092244721017863,83.09224472101786,13.092244721017863,23.092244721017863,35.0639497158245,31.38948205697132
8,80,8,43.09224472101786,104.3307464980945,53.09224472101786,23.092244721017863,104.47734817805,13.092244721017863,13.092244721017863,33.09224472101786,20.082916800288874,21.657394125747714,60.759597722893076
8,80,9,33.09224472101786,104.2485095276616,63.09224472101787,23.092244721017863,104.36183668237706,13.092244721017863,63.09224472101787,13.092244721017863,18.76178654303991,39.99776071973836,31.395332268497132
9,90,0,1e-05,83.09224472101786,23.092244721017863,23.092244721017863,3.0922447210178636,23.092244721017863,103.39454194999531,103.39454194999531,1.9999991339087398e-05,31.158842867092766,8.693228704922063
9,90,1,13.092244721017863,104.35672164712021,33.09224472101786,3.0922447210178636,104.40673144231184,13.092244721017863,13.092244721017863,103.54388258338014,13.092244721017863,6.976917367861379,104.10093873498721
9,90,2,63.09224472101787,104.30407860662638,63.09224472101787,23.092244721017863,103.9627351309698,13.092244721017863,13.092244721017863,23.092244721017863,21.684705481012177,22.1344245900586,47.99173330800868
9,90,3,3.0922447210178636,104.2766800078085,43.09224472101786,33.09224472101786,104.07075176128379,33.09224472101786,73.09224472101786,102.87925463549531,5.655976946095705,44.70543522098892,103.73855722811764
9,90,4,23.092244721017863,104.2485095276616,33.09224472101786,23.092244721017863,104.03955393120594,13.092244721017863,83.09224472101786,13.092244721017863,16.71043719047096,35.0639497158245,31.385583025465152
9,90,5,43.09224472101786,33.09224472101786,33.09224472101786,3.0922447210178636,104.23990127663086,13.092244721017863,33.09224472101786,23.092244721017863,20.082916800288874,7.816025534637508,36.09396077556881
9,90,6,33.09224472101786,104.21952241095033,43.09224472101786,13.092244721017863,103.95126294916575,13.092244721017863,83.09224472101786,43.09224472101786,18.76178654303991,26.87643540776807,70.71959770139895
9,90,7,3.0922447210178636,104.4543589240929,43.09224472101786,43.09224472101786,103.97407719316342,13.092244721017863,73.09224472101786,53.09224472101786,5.0028670684775385,49.92228301044055,78.89238494711017
9,90,8,43.09224472101786,33.09224472101786,103.68890445380146,13.092244721017863,104.2485095276616,13.092244721017863,53.09224472101786,23.092244721017863,20.082916800288874,28.60944590127659,36.094304779215086
9,90,9,23.092244721017863,104.2485095276616,33.09224472101786,23.092244721017863,104.16822989054491,23.092244721017863,83.09224472101786,13.092244721017863,23.092244721017863,35.0639497158245,31.38948205697132
10,100,0,23.092244721017863,104.2485095276616,33.09224472101786,23.092244721017863,104.16822989054491,23.092244721017863,73.09224472101786,23.092244721017863,23.092244721017863,34.40190057640476,48.002380151020894
10,100,1,3.0922447210178636,104.2766800078085,43.09224472101786,33.09224472101786,104.07075176128379,33.09224472101786,83.09224472101786,102.87925463549531,5.655976946095705,45.82992743037298,103.73855722811764
10,100,2,43.09224472101786,23.092244721017863,53.09224472101786,23.092244721017863,104.49089225028547,13.092244721017863,13.092244721017863,23.092244721017863,20.082916800288874,21.657394125747714,31.191718389012703
10,100,3,53.09224472101786,104.30407860662638,43.09224472101786,23.092244721017863,104.0910223832248,13.092244721017863,13.092244721017863,23.092244721017863,21.004820511141038,20.99491993552229,48.00083634940164
10,100,4,23.092244721017863,104.2485095276616,33.09224472101786,23.092244721017863,104.16822989054491,23.092244721017863,83.09224472101786,13.092244721017863,23.092244721017863,35.0639497158245,31.38948205697132
10,100,5,3.0922447210178636,102.89042731190857,13.092244721017863,1e-05,104.39938755794532,53.09224472101786,3.0922447210178636,102.56502627758005,5.844111607881776,2.9999880069249662e-05,103.27879328802571
10,100,6,23.092244721017863,104.2485095276616,33.09224472101786,23.092244721017863,104.16822989054491,23.092244721017863,83.09224472101786,13.092244721017863,23.092244721017863,35.0639497158245,31.38948205697132
10,100,7,23.092244721017863,104.2766800078085,101.79192612200738,23.092244721017863,104.14947963418946,23.092244721017863,83.09224472101786,23.092244721017863,23.092244721017863,46.03814088102354,48.003043112466976
10,100,8,3.0922447210178636,104.4543589240929,33.09224472101786,43.09224472101786,103.99638253604589,13.092244721017863,73.09224472101786,102.41600306002962,5.0028670684775385,44.70543522098892,103.61485476184778
10,100,9,1e-05,53.09224472101786,3.0922447210178636,23.092244721017863,103.50858583965423,3.0922447210178636,63.09224472101787,3.0922447210178636,1.9999935322275156e-05,7.842233904011417,8.52549207652015
