n_gens,n_evals,ind_id,f1,f2,f3,f4,f5,f6,f7,f8,obj_hard,obj_medium,obj_easy
4,40,0,3.0922447210178636,83.09224472101786,23.092244721017863,3.0922447210178636,14.48414314422906,1e-05,73.09224472101786,103.35344168224952,1.9999935322275156e-05,7.886941350902553,33.05735114473373
4,40,1,3.0922447210178636,83.09224472101786,23.092244721017863,3.0922447210178636,14.48414314422906,1e-05,73.09224472101786,103.35344168224952,1.9999935322275156e-05,7.886941350902553,33.05735114473373
4,40,2,3.0922447210178636,83.09224472101786,23.092244721017863,3.0922447210178636,14.48414314422906,1e-05,73.09224472101786,103.35344168224952,1.9999935322275156e-05,7.886941350902553,33.05735114473373
4,40,3,1e-05,1e-05,1e-05,1e-05,4.039553931205937,3.0922447210178636,1e-05,1e-05,1.9999935322275156e-05,1e-05,1.4999981433616572e-05
4,40,4,3.0922447210178636,101.79192612200738,23.092244721017863,3.0922447210178636,14.48414314422906,1e-05,73.09224472101786,103.35344168224952,1.9999935322275156e-05,7.886941350902553,33.882792796800175
4,40,5,3.0922447210178636,102.07956653386799,3.0922447210178636,3.0922447210178636,54.222459227498526,1e-05,73.09224472101786,101.64885091479098,1.9999935322275156e-05,4.542284016724965,78.7885230893627
4,40,6,3.0922447210178636,83.09224472101786,23.092244721017863,3.0922447210178636,14.48414314422906,1e-05,73.09224472101786,103.35344168224952,1.9999935322275156e-05,7.886941350902553,33.05735114473373
4,40,7,3.0922447210178636,83.09224472101786,23.092244721017863,3.0922447210178636,14.48414314422906,1e-05,73.09224472101786,103.35344168224952,1.9999935322275156e-05,7.886941350902553,33.05735114473373
4,40,8,1e-05,1e-05,1e-05,1e-05,4.239901276630853,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999982310929748e-05
4,40,9,3.0922447210178636,104.09436122874989,23.092244721017863,3.0922447210178636,13.092244721017863,43.09224472101786,73.09224472101786,103.35344168224952,5.770412009106055,7.886941350902553,31.359988379301175
